user_id,session_id,timestamp,date,hour,day_of_week,is_weekend,is_holiday,game_type,sport_type,country,device_type,payment_method,user_age,account_age_days,vip_tier,campaign_type,bet_amount,win_amount,net_result,session_length_minutes,games_played,bonus_used,deposit_amount,withdrawal_amount,previous_session_gap_hours,lifetime_deposits,lifetime_bets,avg_bet_size,is_first_session,redeposit,first_session_won
user_000002,sess_00001626,2024-06-04 16:10:15.993090+00:00,2024-06-04,16,1,0,1,blackjack,,MX,mobile,e_wallet,43.0,17,gold,welcome_bonus,6731.21,12678.31,5947.1,144,48,0,3802.83,,,3802.83,48,6731.21,True,1,True
user_000003,sess_00000829,2024-05-23 19:33:29.301282+00:00,2024-05-23,19,3,0,0,blackjack,,BR,tablet,e_wallet,52.0,3,gold,welcome_bonus,11278.64,0.0,-11278.64,240,80,1,5584.4,,,5584.4,80,11278.64,True,1,False
user_000004,sess_00000291,2024-10-18 22:32:51.278217+00:00,2024-10-18,22,4,0,0,poker,,FR,mobile,e_wallet,63.0,6,gold,none,279.05,465.14,186.09,222,74,0,2565.21,,,2565.21,74,279.05,True,1,True
user_000005,sess_00003278,2024-11-24 20:20:35.131190+00:00,2024-11-24,20,6,1,0,poker,,MX,tablet,credit_card,42.0,29,bronze,free_spins,15451.79,0.0,-15451.79,376,125,0,,,,0.0,125,15451.79,True,1,False
user_000006,sess_00001397,2024-08-01 03:55:52.017767+00:00,2024-08-01,3,3,0,0,live_dealer,,MX,desktop,bank_transfer,42.0,13,silver,reload_bonus,387.12,660.91,273.79,311,103,0,1852.56,2606.52,,1852.56,103,387.12,True,1,True
user_000007,sess_00000211,2024-07-15 12:30:22.372781+00:00,2024-07-15,12,0,0,0,poker,,UK,desktop,crypto,63.0,15,gold,free_spins,158.41,461.67,303.26,315,105,0,8014.72,,,8014.72,105,158.41,True,1,True
user_000008,sess_00000222,2023-11-24 09:24:27.471001+00:00,2023-11-24,9,4,0,0,sports_betting,baseball,UK,tablet,credit_card,54.0,15,bronze,reload_bonus,114.24,142.29,28.05,69,23,0,,,,0.0,23,114.24,True,1,True
user_000009,sess_00002703,2024-12-13 23:19:03.373869+00:00,2024-12-13,23,4,0,0,poker,,BR,tablet,bank_transfer,39.0,2,bronze,free_spins,119.14,0.0,-119.14,443,147,0,,,,0.0,147,119.14,True,1,False
user_000012,sess_00000009,2024-07-28 04:46:30.558457+00:00,2024-07-28,4,6,1,0,live_dealer,,ES,tablet,e_wallet,39.0,9,gold,free_spins,195.33,0.0,-195.33,51,17,0,4395.35,,,4395.35,17,195.33,True,1,False
user_000013,sess_00000437,2023-09-05 21:51:25.155566+00:00,2023-09-05,21,1,0,0,sports_betting,golf,CA,desktop,credit_card,47.0,9,platinum,none,190.01,0.0,-190.01,102,34,0,20060.2,,,20060.2,34,190.01,True,1,False
user_000014,sess_00000664,2023-09-06 02:02:47.308275+00:00,2023-09-06,2,2,0,0,poker,,UK,tablet,crypto,22.0,11,platinum,welcome_bonus,116.8,0.0,-116.8,119,39,0,13041.78,,,13041.78,39,116.8,True,1,False
user_000015,sess_00000834,2024-11-08 09:35:10.452029+00:00,2024-11-08,9,4,0,1,live_dealer,,US,mobile,e_wallet,24.0,11,bronze,reload_bonus,220.02,0.0,-220.02,75,25,0,,,,0.0,25,220.02,True,1,False
user_000016,sess_00000265,2023-11-17 18:31:11.490661+00:00,2023-11-17,18,4,0,0,poker,,BR,mobile,e_wallet,38.0,9,gold,free_spins,389.59,583.23,193.64,77,25,1,4557.83,,,4557.83,25,389.59,True,1,True
user_000017,sess_00001899,2024-09-15 12:16:26.376163+00:00,2024-09-15,12,6,1,0,sports_betting,hockey,FR,mobile,e_wallet,32.0,2,gold,cashback,151.69,204.66,52.97,231,77,0,4531.72,,,4531.72,77,151.69,True,1,True
user_000019,sess_00000498,2023-08-24 12:53:57.497026+00:00,2023-08-24,12,3,0,0,poker,,BR,tablet,bank_transfer,34.0,6,platinum,reload_bonus,274.33,0.0,-274.33,45,15,0,15535.94,,,15535.94,15,274.33,True,1,False
user_000020,sess_00002661,2024-12-15 04:38:18.634559+00:00,2024-12-15,4,6,1,0,poker,,,tablet,bank_transfer,28.0,9,platinum,welcome_bonus,237.77,567.32,329.55,235,78,1,26144.21,,,26144.21,78,237.77,True,1,True
user_000022,sess_00000070,2023-12-22 20:38:18.089487+00:00,2023-12-22,20,4,0,0,poker,,CA,desktop,credit_card,42.0,5,bronze,cashback,130.77,0.0,-130.77,92,30,1,,,,0.0,30,130.77,True,1,False
user_000023,sess_00000468,2024-06-03 16:46:54.075650+00:00,2024-06-03,16,0,0,0,sports_betting,football,FR,mobile,e_wallet,45.0,17,bronze,reload_bonus,60.16,0.0,-60.16,224,74,0,,,,0.0,74,60.16,True,1,False
user_000024,sess_00000269,2024-12-06 00:19:21.624988+00:00,2024-12-06,0,4,0,0,sports_betting,soccer,UK,desktop,bank_transfer,27.0,24,bronze,welcome_bonus,1552.82,4159.98,2607.16,139,46,0,,,,0.0,46,1552.82,True,1,True
user_000025,sess_00000184,2024-01-31 20:04:02.022587+00:00,2024-01-31,20,2,0,0,live_dealer,,IT,tablet,e_wallet,38.0,24,bronze,welcome_bonus,1645.46,0.0,-1645.46,106,35,1,,,,0.0,35,1645.46,True,1,False
user_000026,sess_00002136,2024-06-12 05:35:29.208207+00:00,2024-06-12,5,2,0,0,poker,,CA,mobile,e_wallet,,9,gold,cashback,2515.41,4170.56,1655.15,110,36,1,3002.35,,-1.0,5839.77,57,1313.68,True,1,True
user_000027,sess_00000074,2024-05-04 00:27:40.744899+00:00,2024-05-04,0,5,1,0,poker,,DE,desktop,credit_card,31.0,19,gold,free_spins,154.04,372.99,218.95,131,43,1,4929.94,1424.39,,4929.94,43,154.04,True,1,True
user_000028,sess_00001146,2024-01-26 07:03:03.719168+00:00,2024-01-26,7,4,0,0,blackjack,,MX,tablet,credit_card,49.0,10,bronze,reload_bonus,76.23,96.39,20.16,177,59,0,,,,0.0,59,76.23,True,1,True
user_000029,sess_00000199,2024-02-27 19:58:37.781640+00:00,2024-02-27,19,1,0,0,live_dealer,,US,desktop,,37.0,8,gold,welcome_bonus,90.18,0.0,-90.18,35,11,1,2561.52,,,2561.52,11,90.18,True,1,False
user_000030,sess_00001040,2023-12-16 01:17:15.727271+00:00,2023-12-16,1,5,1,0,blackjack,,AU,tablet,crypto,41.0,6,gold,cashback,1464.84,2004.15,539.31,464,154,0,2522.62,,,2522.62,154,1464.84,True,1,True
user_000031,sess_00000416,2024-12-03 01:36:00.943834+00:00,2024-12-03,1,1,0,1,blackjack,,FR,mobile,credit_card,37.0,11,silver,reload_bonus,98.32,191.1,92.78,90,30,1,1513.13,,,1513.13,30,98.32,True,1,True
user_000032,sess_00000053,2024-04-26 05:37:04.498333+00:00,2024-04-26,5,4,0,0,poker,,US,mobile,,67.0,15,silver,free_spins,153.98,178.34,24.36,148,49,0,783.35,,,783.35,49,153.98,True,1,True
user_000033,sess_00005296,2024-11-27 06:54:06.214649+00:00,2024-11-27,6,2,0,0,live_dealer,,UK,mobile,crypto,44.0,11,silver,cashback,68.82,98.97,30.15,25,8,0,1369.11,,,1369.11,8,68.82,True,1,True
user_000035,sess_00001483,2024-01-13 04:15:56.197667+00:00,2024-01-13,4,5,1,0,live_dealer,,UK,mobile,crypto,54.0,8,bronze,none,190.23,0.0,-190.23,272,90,0,,,,0.0,90,190.23,True,1,False
user_000036,sess_00002148,2024-04-03 21:58:19.707164+00:00,2024-04-03,21,2,0,0,poker,,BR,mobile,credit_card,,24,bronze,cashback,80.08,0.0,-80.08,41,13,1,,,,0.0,13,80.08,True,1,False
user_000037,sess_00002004,2023-10-28 21:07:56.285541+00:00,2023-10-28,21,5,1,0,live_dealer,,CA,tablet,e_wallet,47.0,18,gold,none,1647.3,0.0,-1647.3,195,65,0,2775.51,,,2775.51,65,1647.3,True,1,False
user_000038,sess_00001181,2024-01-16 09:30:07.811628+00:00,2024-01-16,9,1,0,0,blackjack,,CA,mobile,e_wallet,21.0,3,bronze,reload_bonus,99.9,0.0,-99.9,52,17,0,,,,0.0,17,99.9,True,1,False
