user_id,total_sessions,first_session,last_session,total_bet,avg_bet,max_bet,total_win,avg_win,total_net_result,avg_net_result,total_deposits,total_withdrawals,total_time_played,avg_session_length,total_games,avg_games_per_session,account_age_days,vip_tier,country,primary_device,churn
user_000002,7,2024-06-04 16:10:15.993090+00:00,2024-06-07 11:46:17.803592+00:00,67308.72,9615.531428571428,49259.73,15032.59,2147.5128571428572,-52276.13,-7468.018571428571,28103.51,0.0,1289,184.14285714285714,427,61.0,20,platinum,MX,mobile,0
user_000003,12,2024-05-23 19:33:29.301282+00:00,2024-06-09 22:24:00.726664+00:00,1042709.8400000001,86892.48666666668,620372.81,110889.4,9240.783333333333,-931820.4400000001,-77651.70333333334,83210.81999999999,3376.96,2193,182.75,726,60.5,20,diamond,BR,tablet,0
user_000004,11,2024-10-18 22:32:51.278217+00:00,2024-10-30 06:57:25.656398+00:00,177618.30000000002,16147.118181818183,74159.19,215790.06,19617.278181818183,38171.76000000001,3470.1600000000008,64918.43,4548.4,1587,144.27272727272728,525,47.72727272727273,17,diamond,FR,mobile,0
user_000005,8,2024-11-24 20:20:35.131190+00:00,2024-11-29 23:08:18.179153+00:00,36602.770000000004,4575.3462500000005,15451.79,6438.79,804.84875,-30163.98,-3770.4975,53180.11,0.0,2005,250.625,666,83.25,34,diamond,MX,mobile,0
user_000006,6,2024-08-01 03:55:52.017767+00:00,2024-08-04 17:11:57.742925+00:00,276841.89999999997,46140.31666666666,250608.58,34721.2,5786.866666666666,-242120.69999999998,-40353.45,52883.48,2606.52,882,147.0,292,48.666666666666664,17,diamond,MX,tablet,0
user_000007,5,2024-07-15 12:30:22.372781+00:00,2024-07-23 13:17:08.831790+00:00,217675.33,43535.066,210482.27,4517.58,903.516,-213157.75,-42631.55,22642.57,847.08,1192,238.4,396,79.2,23,platinum,UK,desktop,0
user_000008,12,2023-11-24 09:24:27.471001+00:00,2023-12-03 05:26:02.220407+00:00,442111.68,36842.64,252509.21,449593.36,37466.113333333335,7481.680000000022,623.4733333333352,49296.46,22573.829999999998,2277,189.75,756,63.0,24,platinum,UK,desktop,0
user_000009,3,2024-12-13 23:19:03.373869+00:00,2024-12-16 15:43:24.806418+00:00,1888.65,629.5500000000001,1520.4,0.0,0.0,-1888.65,-629.5500000000001,18526.88,0.0,693,231.0,230,76.66666666666667,4,platinum,BR,tablet,0
user_000012,7,2024-07-28 04:46:30.558457+00:00,2024-08-11 23:54:44.117696+00:00,458241.26,65463.037142857145,257682.39,867199.65,123885.66428571429,408958.39,58422.62714285714,65216.59,4208.94,1107,158.14285714285714,367,52.42857142857143,24,diamond,ES,tablet,0
user_000013,9,2023-09-05 21:51:25.155566+00:00,2023-09-11 02:53:20.406702+00:00,575334.4,63926.044444444444,415553.09,765889.4,85098.82222222222,190555.00000000003,21172.77777777778,86382.49,5500.04,1656,184.0,548,60.888888888888886,14,diamond,CA,desktop,0
